run_name,run_id,state
misty-sweep-1,b2r97n2h,finished
skilled-sweep-2,lflohw3p,finished
driven-sweep-3,ycpdrf1t,finished
prime-sweep-4,70pyvp19,finished
giddy-sweep-5,u01usuvv,finished
wild-sweep-6,bbk2nnwo,finished
