run_name,run_id,state
mistral-lettuceprevent,fw3icvt8,finished
llama-lettuceprevent,rh2gmlw8,finished
mistral-baseline,r1vedho1,finished
llama-baseline,yu4blihe,finished
Qwen-lettuceprevent,7v9okir2,finished
Qwen-baseline,d0ddryx0,finished
