eval/recall_micro,final/eval_f1_binary_class_1,eval/precision_micro,_timestamp,train/grad_norm,train/learning_rate,final/eval_recall_class_0,eval/loss,eval/samples_per_second,final/eval_precision_class_1,_runtime,final/eval_precision_micro,final/eval_runtime,eval/precision_class_0,eval/recall_class_1,final/eval_recall_class_1,eval/f1_micro,final/eval_loss,train/global_step,final/eval_f1_micro,eval/precision_class_1,eval/recall_class_0,final/eval_f1_binary_class_0,eval/runtime,train/epoch,eval/steps_per_second,final/eval_samples_per_second,final/epoch,_step,eval/f1_binary_class_0,eval/f1_binary_class_1,train/loss,final/eval_recall_micro,final/eval_precision_class_0,final/eval_steps_per_second
,,,1776371456.9406173,11.584628105163574,9.26096771027579e-06,,,,,644.66073041,,,,,,,,1887,,,,,,1.0,,,,0,,,0.534,,,
0.9166768390547365,,0.9166768390547365,1776371494.3160114,,,,0.43826353549957275,72.243,,682.036592167,,,0.9813997109330495,0.5955098728698945,,0.9166768390547365,,1887,,0.27253596098140676,0.9306823248539122,,37.3739,1.0,9.044,,,1,0.9553683863843307,0.37393844690536043,,,,
,,,1776372134.7816763,8.390299797058105,7.408970458337423e-06,,,,,1322.501750654,,,,,,,,3774,,,,,,2.0,,,,2,,,0.3998,,,
0.8662104915750022,,0.8662104915750022,1776372172.0860312,,,,0.41706135869026184,72.381,,1359.80646271,,,0.9865470612719724,0.727238301325399,,0.8662104915750022,,3774,,0.1989021394963454,0.8722708067442184,,37.3028,2.0,9.061,,,3,0.9258962008421427,0.3123700200996851,,,,
,,,1776372811.3564634,24.893930435180664,5.5569732063990575e-06,,,,,1999.076505935,,,,,,,,5661,,,,,,3.0,,,,4,,,0.2981,,,
0.9010181430192552,,0.9010181430192552,1776372849.1169083,,,,0.46768152713775635,71.507,,2036.837323906,,,0.9840879682931054,0.662050311063024,,0.9010181430192552,,5661,,0.2458515810197276,0.9114390795703592,,37.7588,3.0,8.952,,,5,0.9463713356644642,0.3585544145437499,,,,
,,,1776372849.9258482,,,,,,,2037.645808685,,,,,,,,5661,,,,,,3.0,,,,6,,,,,,
0.9166768390547365,,0.9166768390547365,1776372888.3612692,,,,0.43826353549957275,70.433,,2076.081826614,,,0.9813997109330495,0.5955098728698945,,0.9166768390547365,,5661,,0.27253596098140676,0.9306823248539122,,38.3341,3.0,8.817,,,7,0.9553683863843307,0.37393844690536043,,,,
,0.37393844690536043,,1776372888.3636239,,,0.9306823248539122,,,0.27253596098140676,2076.083882901,0.9166768390547365,38.3341,,,0.5955098728698945,,0.43826353549957275,5661,0.9166768390547365,,,0.9553683863843307,,,,70.433,3.0,8,,,,0.9166768390547365,0.9813997109330495,8.817
