eval/precision_class_0,eval/f1_binary_class_0,eval/precision_class_1,eval/samples_per_second,_step,final/eval_runtime,eval/recall_class_0,train/grad_norm,eval/recall_micro,final/eval_precision_class_0,eval/steps_per_second,eval/runtime,final/eval_samples_per_second,train/loss,final/eval_precision_micro,train/global_step,final/eval_precision_class_1,final/eval_loss,_timestamp,final/eval_steps_per_second,final/eval_recall_micro,train/epoch,final/eval_recall_class_1,final/eval_f1_micro,final/eval_recall_class_0,final/epoch,final/eval_f1_binary_class_0,_runtime,eval/recall_class_1,eval/loss,eval/precision_micro,train/learning_rate,eval/f1_binary_class_1,final/eval_f1_binary_class_1,eval/f1_micro
,,,,0,,,21.59033966064453,,,,,,0.6446,,1887,,,1776355491.8695347,,,1.0,,,,,,647.168775715,,,,9.260967710275788e-07,,,
0.9788991335699934,0.9225668187703799,0.16271259885169537,72.21,1,,0.8723651710707284,,0.8596798184341756,,9.04,37.391,,,,1887,,,1776355529.2623258,,,1.0,,,,,,684.561652766,0.5687855017581823,0.5210419297218323,0.8596798184341756,,0.25303843469471254,,0.8596798184341756
,,,,2,,,17.52766227722168,,,,,,0.5207,,3774,,,1776356172.9774973,,,2.0,,,,,,1328.276617821,,,,7.408970458337422e-07,,,
0.9848814407429113,0.8976742931908266,0.15002401482057498,72.391,3,,0.8246545675872693,,0.8198515283447942,,9.062,37.2975,,,,3774,,,1776356210.2765532,,,2.0,,,,,,1365.57582915,0.7097105761428185,0.4808388352394104,0.8198515283447942,,0.24768953375310343,,0.8198515283447942
,,,,4,,,33.84889602661133,,,,,,0.4781,,5661,,,1776356852.5065913,,,3.0,,,,,,2007.805637795,,,,5.556973206399057e-07,,,
0.9846994535519126,0.9125332799925053,0.16870924660224684,71.969,5,,0.8502225818551554,,0.8438221956986622,,9.009,37.5161,,,,5661,,,1776356890.0240283,,,3.0,,,,,,2045.323307015,0.6970516635109548,0.459314227104187,0.8438221956986622,,0.27166636797773536,,0.8438221956986622
,,,,6,,,12.585269927978516,,,,,,0.4561,,7548,,,1776357531.7104096,,,4.0,,,,,,2687.009474224,,,,3.704975954460693e-07,,,
0.9839544031639055,0.9250337550632595,0.18757814500700482,72.013,7,,0.8727709376747215,,0.8644495381735816,,9.015,37.4934,,,,7548,,,1776357569.205716,,,4.0,,,,,,2724.505268919,0.673627265350284,0.4503867030143738,0.8644495381735816,,0.2934439364660414,,0.8644495381735816
,,,,8,,,21.98236846923828,,,,,,0.4423,,9435,,,1776358208.1549149,,,5.0,,,,,,3363.453958867,,,,1.8529787025223278e-07,,,
0.9850171951582767,0.9172128863724329,0.17722073230802912,70.773,9,,0.8581421079575078,,0.8515622527544566,,8.86,38.1501,,,,9435,,,1776358246.306407,,,5.0,,,,,,3401.605685449,0.7006762239653773,0.4470498859882355,0.8515622527544566,,0.2828904978759187,,0.8515622527544566
,,,,10,,,8.32778263092041,,,,,,0.4347,,11322,,,1776358885.381256,,,6.0,,,,,,4040.680264903,,,,9.814505839630975e-11,,,
0.9845296070391891,0.9231463253565373,0.18606389214536928,72.242,11,,0.8689680553163682,,0.8613593927310376,,9.044,37.3744,,,,11322,,,1776358922.7569106,,,6.0,,,,,,4078.056200393,0.6868812550716797,0.44659513235092163,0.8613593927310376,,0.2928106082444509,,0.8613593927310376
,,,,12,,,,,,,,,,,11322,,,1776358923.5580976,,,6.0,,,,,,4078.857049077,,,,,,,
0.9839544031639055,0.9250337550632595,0.18757814500700482,70.283,13,,0.8727709376747215,,0.8644495381735816,,8.798,38.4164,,,,11322,,,1776358962.0685995,,,6.0,,,,,,4117.368290893,0.673627265350284,0.4503867030143738,0.8644495381735816,,0.2934439364660414,,0.8644495381735816
,,,,14,38.4164,,,,0.9839544031639055,,,70.283,,0.8644495381735816,11322,0.18757814500700482,0.4503867030143738,1776358962.070048,8.798,0.8644495381735816,,0.673627265350284,0.8644495381735816,0.8727709376747215,6.0,0.9250337550632595,4117.369155981,,,,,,0.2934439364660414,
