final/eval_runtime,eval/f1_binary_class_1,eval/precision_class_1,eval/f1_micro,final/eval_precision_micro,eval/recall_micro,final/eval_precision_class_1,final/eval_samples_per_second,_timestamp,eval/recall_class_0,eval/f1_binary_class_0,final/eval_recall_class_0,final/eval_recall_class_1,final/eval_steps_per_second,final/eval_precision_class_0,eval/runtime,train/global_step,final/eval_f1_binary_class_1,eval/loss,eval/precision_micro,_step,eval/samples_per_second,train/loss,_runtime,final/eval_loss,final/epoch,eval/steps_per_second,train/grad_norm,eval/recall_class_1,train/learning_rate,final/eval_f1_binary_class_0,final/eval_f1_micro,eval/precision_class_0,train/epoch,final/eval_recall_micro
,,,,,,,,1776367278.7091806,,,,,,,,1887,,,,0,,0.5613,644.835122699,,,,11.669398307800293,,4.630483855137895e-06,,,,1.0,
,0.3602617954478851,0.25767985653399167,0.9111747073743032,,0.9111747073743032,,,1776367315.9715917,0.9248081455286643,0.9522740688378601,,,,,37.261,1887,,0.44755253195762634,0.9111747073743032,1,72.462,,682.097996778,,,9.071,,0.5985393562347849,,,,0.9814213505509004,1.0,
,,,,,,,,1776367956.2543337,,,,,,,,3774,,,,2,,0.4288,1322.380215348,,,,13.942856788635254,,3.7044852291687116e-06,,,,2.0,
,0.29211612875332366,0.1825267110612835,0.8519533245624743,,0.8519533245624743,,,1776367993.4711027,0.8572267739903607,0.9173320879037653,,,,,37.2155,3774,,0.4263222813606262,0.8519533245624743,3,72.55,,1359.597251703,,,9.082,,0.731025155531512,,,,0.9865016384274354,2.0,
,,,,,,,,1776368631.4583685,,,,,,,,5661,,,,4,,0.3635,1997.584311762,,,,29.417585372924805,,2.7784866031995287e-06,,,,3.0,
,0.35824070162147986,0.2451351782438791,0.9004213629191589,,0.9004213629191589,,,1776368668.8303077,0.9106818058501164,0.9460230092377593,,,,,37.3702,5661,,0.4373053312301636,0.9004213629191589,5,72.25,,2034.956428471,,,9.045,,0.6651338923451448,,,,0.9842179604199706,3.0,
,,,,,,,,1776368669.6114724,,,,,,,,5661,,,,6,,,2035.737259359,,,,,,,,,,3.0,
,0.3602617954478851,0.25767985653399167,0.9111747073743032,,0.9111747073743032,,,1776368707.9020147,0.9248081455286643,0.9522740688378601,,,,,38.1941,5661,,0.44755253195762634,0.9111747073743032,7,70.692,,2074.028228138,,,8.85,,0.5985393562347849,,,,0.9814213505509004,3.0,
38.1941,,,,0.9111747073743032,,0.25767985653399167,70.692,1776368707.9039278,,,0.9248081455286643,0.5985393562347849,8.85,0.9814213505509004,,5661,0.3602617954478851,,,8,,,2074.030161306,0.44755253195762634,3.0,,,,,0.9522740688378601,0.9111747073743032,,,0.9111747073743032
