eval/runtime,eval/steps_per_second,final/eval_precision_class_0,train/global_step,eval/precision_class_0,eval/recall_class_0,_runtime,eval/loss,final/eval_recall_class_1,final/eval_precision_micro,final/eval_f1_micro,eval/f1_binary_class_1,eval/recall_micro,eval/recall_class_1,final/eval_samples_per_second,final/epoch,train/loss,final/eval_f1_binary_class_0,_step,train/epoch,train/grad_norm,eval/samples_per_second,final/eval_recall_micro,train/learning_rate,final/eval_steps_per_second,final/eval_loss,_timestamp,eval/precision_micro,final/eval_f1_binary_class_1,eval/precision_class_1,final/eval_runtime,final/eval_recall_class_0,final/eval_precision_class_1,eval/f1_micro,eval/f1_binary_class_0
,,,1887,,,646.00913333,,,,,,,,,,0.5632,,0,1.0,11.943469047546387,,,4.630483855137895e-06,,,1776363844.87804,,,,,,,,
37.4839,9.017,,1887,0.9810351382719014,0.9252658125122378,683.494861663,0.44751834869384766,,,,0.35708320369430296,0.9112493048868152,0.5898295915607249,,,,,1,1.0,,72.031,,,,,1776363882.3635757,0.9112493048868152,,0.256047156075337,,,,0.9112493048868152,0.9523347023908527
,,,3774,,,1323.505075946,,,,,,,,,,0.4281,,2,2.0,14.776946067810059,,,3.7044852291687116e-06,,,1776364522.3740466,,,,,,,,
37.32,9.057,,3774,0.9857381166743722,0.8601119632734041,1360.827125359,0.430271178483963,,,,0.2903551960611922,0.8540330127900826,0.7146334866107655,,,,,3,2.0,,72.347,,,,,1776364559.6957135,0.8540330127900826,,0.18218930586012386,,,,0.8540330127900826,0.9186500637475497
,,,5661,,,1998.73598868,,,,,,,,,,0.363,,4,3.0,21.995147705078125,,,2.7784866031995287e-06,,,1776365197.6049447,,,,,,,,
37.3442,9.051,,5661,0.9837260221084289,0.9136566412433443,2036.082104701,0.4368131160736084,,,,0.35966231407173593,0.9027813569513579,0.6533946443061942,,,,,5,3.0,,72.3,,,,,1776365234.9507697,0.9027813569513579,,0.24812030075187969,,,,0.9027813569513579,0.9473975183008495
,,,7548,,,2676.338736308,,,,,,,,,,0.3049,,6,4.0,21.550039291381836,,,1.8524879772303468e-06,,,1776365875.207646,,,,,,,,
37.4113,9.035,,7548,0.9835097745817539,0.9102005477849154,2713.751711605,0.4753955602645874,,,,0.3504944141411195,0.8993295265996646,0.6500405734379227,,,,,7,4.0,,72.171,,,,,1776365912.6204417,0.8993295265996646,,0.2399313112757333,,,,0.8993295265996646,0.945436189477347
,,,9435,,,3352.96131972,,,,,,,,,,0.2553,,8,5.0,7.418908596038818,,,9.26489351261164e-07,,,1776366551.8302994,,,,,,,,
38.1879,8.851,,9435,0.9829445136998499,0.911479184409126,3391.151110036,0.5139018893241882,,,,0.34757851568838605,0.9000235095190947,0.6373275628888287,,,,,9,5.0,,70.703,,,,,1776366590.019829,0.9000235095190947,,0.23894613013142948,,,,0.9000235095190947,0.9458638683214212
,,,9435,,,3391.933126211,,,,,,,,,,,,10,5.0,,,,,,,1776366590.8021908,,,,,,,,
37.5728,8.996,,9435,0.9837260221084289,0.9136566412433443,3429.603570954,0.4368131160736084,,,,0.35966231407173593,0.9027813569513579,0.6533946443061942,,,,,11,5.0,,71.861,,,,,1776366628.4722703,0.9027813569513579,,0.24812030075187969,,,,0.9027813569513579,0.9473975183008495
,,0.9837260221084289,9435,,,3429.605022682,,0.6533946443061942,0.9027813569513579,0.9027813569513579,,,,71.861,5.0,,0.9473975183008495,12,,,,0.9027813569513579,,8.996,0.4368131160736084,1776366628.4739418,,0.35966231407173593,,37.5728,0.9136566412433443,0.24812030075187969,,
